,DateRead,ammonia_ppm,nitrate_ppm,phosphorus_ppm,influent_mgd,treated_mgd,time,performance,nitrate_load,nitrate_man,nitrate_man3,smooth_nitrate_load
335,2012-11-02 23:00:00,0.103161,1.635102,0.015739,277.218689,277.218689,13.958333333333334,100.0,3780.3621457294585,6918.250448681663,5416.780210488202,6918.250448681663
336,2012-11-03 00:00:00,0.103378,1.53359,0.015717,280.430756,280.430756,14.0,100.0,3586.748797804293,6855.492682622619,5334.959307250264,6855.492682622619
337,2012-11-03 01:00:00,0.097982,1.467255,0.017515,279.506104,279.506104,14.041666666666666,100.0,3420.2901167284967,6790.117804926253,5247.548781777965,6790.117804926253
338,2012-11-03 02:00:00,0.099455,1.416122,0.017624,251.783325,251.783325,14.083333333333334,100.0,2973.676254085521,6722.721251162297,5156.185848525492,6722.721251162297
339,2012-11-03 03:00:00,0.101362,1.437739,0.017624,218.947281,218.949142,14.125,100.00084997630093,2625.362948719283,6647.740351220762,5047.060368803493,6647.740351220762
340,2012-11-03 04:00:00,0.101471,1.41186,0.015826,220.378387,220.378387,14.166666666666666,100.0,2594.9362017782987,6567.292803170732,4925.975497799282,6567.292803170732
341,2012-11-03 05:00:00,0.101471,1.405899,0.015357,214.074997,214.074997,14.208333333333334,100.0,2510.071653888907,6487.845671142884,4809.423532998232,6487.845671142884
342,2012-11-03 06:00:00,0.097873,1.441625,0.017493,208.380035,208.378082,14.25,99.99906277009696,2505.361457543505,6408.290190797805,4694.455939042765,6408.290190797805
343,2012-11-03 07:00:00,0.099455,1.429392,0.015826,205.408752,205.408752,14.291666666666666,100.0,2448.704287835458,6330.231616132719,4585.001214967802,6330.231616132719
344,2012-11-03 08:00:00,0.101362,1.437164,0.014998,196.745316,196.744598,14.333333333333334,99.9996350611976,2358.1704736902007,6252.601069566774,4478.186368611185,6252.601069566774
345,2012-11-03 09:00:00,0.097873,1.437683,0.017111,195.689789,195.689789,14.375,100.0,2346.3746235435174,6174.7124576492415,4372.185573865136,6174.7124576492415
