,t,srtSRTtotal,q11,vss11,scod11,cod11,bod11,snh11,tkn11,initial_bod,bod_performance
1780,88.95,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1781,89.0,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1782,89.05,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1783,89.1,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1784,89.15,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1785,89.2,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1786,89.25,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1787,89.3,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1788,89.35,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1789,89.4,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1790,89.45,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1791,89.5,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1792,89.55,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1793,89.6,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1794,89.65,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1795,89.7,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1796,89.75,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1797,89.8,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1798,89.85,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1799,89.9,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1800,89.95,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1801,90.0,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1802,90.05,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1803,90.1,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1804,90.15,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1805,90.2,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1806,90.25,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1807,90.3,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1808,90.35,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1809,90.4,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1810,90.45,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1811,90.5,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1812,90.55,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1813,90.6,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1814,90.65,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1815,90.7,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1816,90.75,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1817,90.8,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1818,90.85,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1819,90.9,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1820,90.95,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1821,91.0,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1822,91.05,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1823,91.1,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1824,91.15,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1825,91.2,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1826,91.25,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1827,91.3,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1828,91.35,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1829,91.4,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1830,91.45,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1831,91.5,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1832,91.55,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1833,91.6,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1834,91.65,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1835,91.7,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1836,91.75,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1837,91.8,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1838,91.85,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1839,91.9,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1840,91.95,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1841,92.0,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1842,92.05,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1843,92.1,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1844,92.15,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1845,92.2,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1846,92.25,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1847,92.3,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1848,92.35,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1849,92.4,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1850,92.45,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1851,92.5,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1852,92.55,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1853,92.6,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1854,92.65,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1855,92.7,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1856,92.75,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1857,92.8,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1858,92.85,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1859,92.9,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1860,92.95,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1861,93.0,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1862,93.05,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1863,93.1,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1864,93.15,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1865,93.2,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1866,93.25,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1867,93.3,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1868,93.35,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1869,93.4,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1870,93.45,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1871,93.5,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1872,93.55,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1873,93.6,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1874,93.65,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1875,93.7,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1876,93.75,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1877,93.8,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1878,93.85,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1879,93.9,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1880,93.95,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1881,94.0,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1882,94.05,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1883,94.1,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1884,94.15,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1885,94.2,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1886,94.25,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1887,94.3,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1888,94.35,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1889,94.4,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1890,94.45,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1891,94.5,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1892,94.55,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1893,94.6,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1894,94.65,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1895,94.7,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1896,94.75,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1897,94.8,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1898,94.85,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1899,94.9,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1900,94.95,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1901,95.0,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1902,95.05,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1903,95.1,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1904,95.15,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1905,95.2,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1906,95.25,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1907,95.3,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1908,95.35,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1909,95.4,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1910,95.45,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1911,95.5,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1912,95.55,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1913,95.6,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1914,95.65,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1915,95.7,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1916,95.75,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1917,95.8,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1918,95.85,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1919,95.9,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1920,95.95,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1921,96.0,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1922,96.05,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1923,96.1,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1924,96.15,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1925,96.2,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1926,96.25,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1927,96.3,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1928,96.35,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1929,96.4,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1930,96.45,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1931,96.5,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1932,96.55,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1933,96.6,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1934,96.65,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1935,96.7,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1936,96.75,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1937,96.8,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1938,96.85,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1939,96.9,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1940,96.95,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1941,97.0,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1942,97.05,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1943,97.1,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1944,97.15,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1945,97.2,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1946,97.25,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1947,97.3,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1948,97.35,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1949,97.4,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1950,97.45,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1951,97.5,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1952,97.55,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1953,97.6,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1954,97.65,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1955,97.7,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1956,97.75,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1957,97.8,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1958,97.85,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1959,97.9,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1960,97.95,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1961,98.0,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1962,98.05,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1963,98.1,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1964,98.15,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1965,98.2,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1966,98.25,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1967,98.3,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1968,98.35,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1969,98.4,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1970,98.45,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1971,98.5,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1972,98.55,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1973,98.6,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1974,98.65,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1975,98.7,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1976,98.75,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1977,98.8,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1978,98.85,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1979,98.9,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1980,98.95,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1981,99.0,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1982,99.05,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1983,99.1,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1984,99.15,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1985,99.2,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1986,99.25,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1987,99.3,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1988,99.35,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1989,99.4,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1990,99.45,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1991,99.5,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1992,99.55,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1993,99.6,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1994,99.65,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1995,99.7,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1996,99.75,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1997,99.8,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1998,99.85,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
1999,99.9,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
2000,99.95,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
2001,100.0,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
2002,100.0,3.194,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
