"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2017-01-25","0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","51","H,,S","61",",,W","45",",,W",,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2017-01-26","0.00","T,,W,2400","0.0",",,W,2400","0.0",",,W,2400","52","H,,S","61",",,W","43",",,W",,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2017-01-27","0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","43","H,,S","45",",,W","38",",,W",,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2017-01-28","0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","40","H,,S","49",",,W","33",",,W",,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2017-01-29","0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","41","H,,S","47",",,W","35",",,W",,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2017-01-30","0.07",",,W,2400","1.0",",,W,2400","1.2",",,W,2400","36","H,,S","39",",,W","30",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2017-01-31","0.00","T,,W,2400","0.0","T,,W,2400","0.0",",,W,2400","39","H,,S","56",",,W","28",",,W",,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2017-02-01","0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","43","H,,S","51",",,W","34",",,W",,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2017-02-02","0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","46","H,,S","50",",,W","36",",,W",,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2017-02-03","0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","37","H,,S","40",",,W","30",",,W",,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2017-02-04","0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","32","H,,S","41",",,W","24",",,W",,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2017-02-05","0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","40","H,,S","54",",,W","32",",,W",,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2017-02-06","0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","45","H,,S","61",",,W","33",",,W",,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2017-02-07","0.00","T,,W,2400","0.0",",,W,2400","0.0",",,W,2400","56","H,,S","73",",,W","48",",,W",,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2017-02-08","0.00","T,,W,2400","0.0",",,W,2400","0.0",",,W,2400","63","H,,S","74",",,W","51",",,W",,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2017-02-09","0.12",",,W,2400","0.0","T,,W,2400","0.0",",,W,2400","43","H,,S","53",",,W","25",",,W","    1",",,W",,,"    1",",,W",,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2017-02-10","0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","30","H,,S","39",",,W","23",",,W",,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2017-02-11","0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","42","H,,S","53",",,W","34",",,W",,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2017-02-12","0.03",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","48","H,,S","55",",,W","45",",,W",,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2017-02-13","0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","45","H,,S","47",",,W","35",",,W",,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2017-02-14","0.00","T,,W,2400","0.0",",,W,2400","0.0",",,W,2400","38","H,,S","46",",,W","30",",,W",,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2017-02-15","0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","43","H,,S","55",",,W","37",",,W",,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2017-02-16","0.00","T,,W,2400","0.0","T,,W,2400","0.0",",,W,2400","37","H,,S","42",",,W","32",",,W",,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2017-02-17","0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","37","H,,S","51",",,W","28",",,W",,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2017-02-18","0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","45","H,,S","68",",,W","33",",,W",,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2017-02-19","0.01",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","61","H,,S","71",",,W","49",",,W",,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2017-02-20","0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","58","H,,S","68",",,W","43",",,W",,,,,,,,,,,,,,,,
