t,srtSRTtotal,biothickl21(1),biothickl21(2),profile1xbhl21(1),profile1xbhl21(2),profile1xbhl21(3),profile1xbhl21(4),profile1xbhl21(5),profile1xbhl21(6),profile1xbail21(1),profile1xbail21(2),profile1xbail21(3),profile1xbail21(4),profile1xbail21(5),profile1xbail21(6),profile1xbaal21(1),profile1xbaal21(3),profile1xbaal21(4),profile1xbaal21(5),profile1xbaal21(6),innero2masstransl21(1),innero2masstransl21(2),q11,x11,vss11,scod11,cod11,bod11,snh11,tkn11
days,d,m,m,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,kg/d,kg/d,MGD(US),mg/L,mg/L,mgCOD/L,mgCOD/L,mgO2/L,mgN/L,mgN/L
0.95,3.193,0.0002457,0.0002449,820,58020,36580,23500,15540,11900,46.5,3321,12170,12570,9518,7580,14.17,4475,5033,3965,3206,1.26E+31,1.26E+31,2.96,2.07,1.369,13.65,15.78,1.828,0.1374,1.712
1,3.193,0.0002457,0.0002449,820,58020,36580,23500,15540,11900,46.5,3321,12170,12570,9518,7580,14.17,4475,5033,3965,3206,1.26E+31,1.26E+31,2.96,2.07,1.369,13.65,15.78,1.829,0.1373,1.712
1.05,3.191,0.0002457,0.0002449,820,58020,36570,23500,15540,11900,46.5,3321,12170,12570,9519,7580,14.17,4476,5033,3965,3206,1.26E+31,1.26E+31,3.08,2.07,1.369,13.65,15.79,1.83,0.1373,1.712
1.1,3.049,0.0002456,0.0002448,804.4,58350,36570,23500,15540,11900,45.74,3350,12200,12600,9530,7585,13.93,4481,5042,3970,3208,1.26E+31,1.26E+31,8.315,2.075,1.373,13.66,15.79,1.833,0.1372,1.712
1.15,1.813,0.0002423,0.0002429,421,54970,36520,23500,15550,11900,24.06,3194,12240,12640,9549,7592,7.33,4488,5055,3978,3212,1.26E+31,1.26E+31,22.32,2.327,1.539,13.66,16.05,1.93,0.1372,1.728
1.2,0.4775,0.0002331,0.0002321,147.8,45580,36340,23490,15550,11900,8.476,2719,12270,12690,9565,7597,2.586,4486,5064,3984,3214,1.26E+31,1.26E+31,21.58,4.51,2.986,13.66,18.32,2.775,0.1408,1.873
1.25,0.3988,0.000233,0.0002297,150.6,45440,36110,23470,15540,11900,8.64,2733,12310,12730,9585,7604,2.634,4481,5072,3990,3217,1.26E+31,1.26E+31,16.13,7.121,4.725,13.86,21.24,4.006,0.2445,2.15
1.3,0.5257,0.0002358,0.0002324,196.1,48350,35950,23450,15540,11900,11.24,2887,12360,12800,9612,7614,3.422,4480,5083,3999,3222,1.26E+31,1.26E+31,12.19,7.022,4.664,14.24,21.52,4.455,0.5453,2.459
1.35,0.6532,0.0002382,0.0002351,251.8,50820,35870,23430,15530,11900,14.41,3003,12440,12880,9651,7628,4.377,4484,5101,4012,3228,1.26E+31,1.26E+31,15.15,6.184,4.109,14.54,20.97,4.633,0.9283,2.799
1.4,0.5714,0.0002366,0.0002345,210.5,49250,35790,23410,15530,11900,12.05,2917,12510,12970,9690,7644,3.659,4489,5119,4025,3235,1.26E+31,1.26E+31,19.37,6.221,4.138,14.76,21.23,5.286,1.505,3.373
