t,srtSRTtotal,biothickl21(1),biothickl21(2),profile1xbhl21(1),profile1xbhl21(2),profile1xbhl21(3),profile1xbhl21(4),profile1xbhl21(5),profile1xbhl21(6),profile1xbail21(1),profile1xbail21(2),profile1xbail21(3),profile1xbail21(4),profile1xbail21(5),profile1xbail21(6),profile1xbaal21(1),profile1xbaal21(3),profile1xbaal21(4),profile1xbaal21(5),profile1xbaal21(6),innero2masstransl21(1),innero2masstransl21(2),q11,x11,vss11,scod11,cod11,bod11,snh11,tkn11
days,d,m,m,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,kg/d,kg/d,MGD(US),mg/L,mg/L,mgCOD/L,mgCOD/L,mgO2/L,mgN/L,mgN/L
22.35,3.2,0.0002456,0.0002446,811.1,59650,37370,24020,15900,12190,45.53,3382,12560,12980,9820,7824,13.82,4605,5183,4076,3293,1.26E+31,1.26E+31,2.96,2.041,1.365,13.65,15.77,1.83,0.1415,1.72
22.4,3.2,0.0002456,0.0002446,811.1,59650,37370,24020,15900,12190,45.53,3382,12550,12980,9819,7823,13.82,4604,5183,4076,3292,1.26E+31,1.26E+31,2.96,2.042,1.365,13.65,15.77,1.83,0.1415,1.72
22.45,3.2,0.0002456,0.0002446,811.2,59650,37360,24020,15900,12180,45.54,3382,12550,12980,9818,7822,13.82,4604,5182,4075,3292,1.26E+31,1.26E+31,2.96,2.042,1.365,13.65,15.77,1.829,0.1414,1.72
22.5,3.199,0.0002456,0.0002446,811.2,59650,37360,24020,15900,12180,45.54,3382,12550,12970,9816,7821,13.82,4603,5181,4075,3291,1.26E+31,1.26E+31,2.96,2.042,1.365,13.65,15.77,1.829,0.1414,1.72
22.55,3.199,0.0002456,0.0002446,811.2,59650,37360,24010,15900,12180,45.55,3383,12550,12970,9815,7820,13.82,4603,5181,4074,3291,1.26E+31,1.26E+31,2.96,2.042,1.365,13.65,15.77,1.829,0.1414,1.72
22.6,3.199,0.0002456,0.0002446,811.3,59640,37360,24010,15900,12180,45.55,3383,12550,12970,9814,7818,13.83,4602,5180,4074,3291,1.26E+31,1.26E+31,2.96,2.042,1.365,13.65,15.77,1.829,0.1414,1.72
22.65,3.199,0.0002456,0.0002446,811.3,59640,37360,24010,15900,12180,45.55,3383,12550,12970,9813,7817,13.83,4601,5180,4073,3290,1.26E+31,1.26E+31,2.96,2.042,1.365,13.65,15.77,1.829,0.1414,1.72
22.7,3.199,0.0002456,0.0002446,811.3,59640,37350,24010,15890,12180,45.56,3383,12540,12970,9811,7816,13.83,4601,5179,4073,3290,1.26E+31,1.26E+31,2.96,2.042,1.365,13.65,15.77,1.829,0.1414,1.72
22.75,3.199,0.0002456,0.0002446,811.4,59640,37350,24010,15890,12180,45.56,3383,12540,12960,9810,7815,13.83,4600,5178,4072,3290,1.26E+31,1.26E+31,2.96,2.042,1.365,13.64,15.77,1.829,0.1414,1.72
22.8,3.199,0.0002456,0.0002446,811.4,59640,37350,24010,15890,12180,45.57,3383,12540,12960,9809,7814,13.83,4600,5178,4072,3289,1.26E+31,1.26E+31,2.96,2.042,1.365,13.64,15.77,1.829,0.1413,1.72
22.85,3.199,0.0002456,0.0002446,811.4,59630,37350,24010,15890,12180,45.57,3383,12540,12960,9807,7813,13.83,4599,5177,4071,3289,1.26E+31,1.26E+31,2.96,2.042,1.365,13.64,15.77,1.829,0.1413,1.72
22.9,3.199,0.0002456,0.0002446,811.5,59630,37350,24010,15890,12180,45.57,3383,12540,12960,9806,7812,13.83,4599,5176,4071,3289,1.26E+31,1.26E+31,2.96,2.042,1.365,13.64,15.77,1.829,0.1413,1.72
22.95,3.199,0.0002456,0.0002446,811.5,59630,37350,24000,15890,12170,45.58,3383,12540,12960,9805,7811,13.84,4598,5176,4071,3288,1.26E+31,1.26E+31,2.96,2.043,1.365,13.64,15.77,1.829,0.1413,1.72
23,3.199,0.0002456,0.0002446,811.5,59630,37340,24000,15890,12170,45.58,3383,12530,12960,9804,7810,13.84,4597,5175,4070,3288,1.26E+31,1.26E+31,2.96,2.043,1.365,13.64,15.77,1.829,0.1413,1.72
23.05,3.199,0.0002456,0.0002446,811.6,59630,37340,24000,15890,12170,45.59,3383,12530,12950,9802,7809,13.84,4597,5175,4070,3288,1.26E+31,1.26E+31,2.96,2.043,1.366,13.64,15.77,1.829,0.1413,1.72
23.1,3.199,0.0002456,0.0002446,811.6,59620,37340,24000,15890,12170,45.59,3383,12530,12950,9801,7808,13.84,4596,5174,4069,3287,1.26E+31,1.26E+31,2.96,2.043,1.366,13.64,15.77,1.829,0.1413,1.72
23.15,3.199,0.0002456,0.0002446,811.6,59620,37340,24000,15880,12170,45.59,3383,12530,12950,9800,7807,13.84,4596,5173,4069,3287,1.26E+31,1.26E+31,2.96,2.043,1.366,13.64,15.77,1.828,0.1413,1.72
23.2,3.199,0.0002456,0.0002446,811.7,59620,37340,24000,15880,12170,45.6,3383,12530,12950,9799,7806,13.84,4595,5173,4068,3287,1.26E+31,1.26E+31,2.96,2.043,1.366,13.64,15.77,1.828,0.1412,1.72
23.25,3.199,0.0002456,0.0002446,811.7,59620,37340,24000,15880,12170,45.6,3383,12530,12950,9797,7805,13.84,4595,5172,4068,3286,1.26E+31,1.26E+31,2.96,2.043,1.366,13.64,15.77,1.828,0.1412,1.72
23.3,3.199,0.0002456,0.0002446,811.7,59610,37330,23990,15880,12170,45.6,3383,12520,12950,9796,7804,13.85,4594,5172,4067,3286,1.26E+31,1.26E+31,2.96,2.043,1.366,13.64,15.77,1.828,0.1412,1.72
23.35,3.199,0.0002456,0.0002446,811.8,59610,37330,23990,15880,12170,45.61,3383,12520,12940,9795,7803,13.85,4594,5171,4067,3286,1.26E+31,1.26E+31,2.96,2.043,1.366,13.64,15.77,1.828,0.1412,1.72
23.4,3.199,0.0002456,0.0002446,811.8,59610,37330,23990,15880,12170,45.61,3383,12520,12940,9794,7802,13.85,4593,5170,4067,3285,1.26E+31,1.26E+31,2.96,2.043,1.366,13.64,15.77,1.828,0.1412,1.719
23.45,3.199,0.0002456,0.0002446,811.8,59610,37330,23990,15880,12170,45.62,3383,12520,12940,9792,7801,13.85,4592,5170,4066,3285,1.26E+31,1.26E+31,2.96,2.043,1.366,13.64,15.77,1.828,0.1412,1.719
23.5,3.199,0.0002456,0.0002447,811.9,59610,37330,23990,15880,12160,45.62,3383,12520,12940,9791,7800,13.85,4592,5169,4066,3284,1.26E+31,1.26E+31,2.96,2.044,1.366,13.64,15.77,1.828,0.1412,1.719
23.55,3.199,0.0002456,0.0002447,811.9,59600,37330,23990,15880,12160,45.62,3383,12520,12940,9790,7799,13.85,4591,5169,4065,3284,1.26E+31,1.26E+31,2.96,2.044,1.366,13.64,15.77,1.828,0.1412,1.719
23.6,3.199,0.0002456,0.0002447,811.9,59600,37320,23990,15870,12160,45.63,3383,12520,12940,9789,7798,13.85,4591,5168,4065,3284,1.26E+31,1.26E+31,2.96,2.044,1.366,13.64,15.77,1.828,0.1411,1.719
23.65,3.199,0.0002456,0.0002447,812,59600,37320,23980,15870,12160,45.63,3383,12510,12940,9788,7797,13.86,4590,5167,4064,3284,1.26E+31,1.26E+31,2.96,2.044,1.366,13.64,15.77,1.828,0.1411,1.719
23.7,3.199,0.0002456,0.0002447,812,59600,37320,23980,15870,12160,45.64,3383,12510,12930,9786,7796,13.86,4590,5167,4064,3283,1.26E+31,1.26E+31,2.96,2.044,1.366,13.64,15.77,1.828,0.1411,1.719
23.75,3.199,0.0002456,0.0002447,812,59600,37320,23980,15870,12160,45.64,3383,12510,12930,9785,7795,13.86,4589,5166,4064,3283,1.26E+31,1.26E+31,2.96,2.044,1.366,13.64,15.77,1.828,0.1411,1.719
23.8,3.199,0.0002456,0.0002447,812.1,59590,37320,23980,15870,12160,45.64,3383,12510,12930,9784,7794,13.86,4589,5166,4063,3283,1.26E+31,1.26E+31,2.96,2.044,1.366,13.64,15.77,1.828,0.1411,1.719
23.85,3.199,0.0002456,0.0002447,812.1,59590,37320,23980,15870,12160,45.65,3383,12510,12930,9783,7793,13.86,4588,5165,4063,3282,1.26E+31,1.26E+31,2.96,2.044,1.366,13.64,15.77,1.828,0.1411,1.719
23.9,3.199,0.0002456,0.0002447,812.1,59590,37310,23980,15870,12160,45.65,3383,12510,12930,9782,7792,13.86,4588,5165,4062,3282,1.26E+31,1.26E+31,2.96,2.044,1.366,13.64,15.77,1.828,0.1411,1.719
23.95,3.199,0.0002456,0.0002447,812.1,59590,37310,23980,15870,12160,45.65,3383,12500,12930,9781,7791,13.86,4587,5164,4062,3282,1.26E+31,1.26E+31,2.96,2.044,1.366,13.64,15.77,1.827,0.1411,1.719
24,3.199,0.0002456,0.0002447,812.2,59580,37310,23970,15870,12160,45.66,3383,12500,12920,9779,7790,13.87,4587,5163,4062,3281,1.26E+31,1.26E+31,2.96,2.044,1.366,13.64,15.77,1.827,0.1411,1.719
24.05,3.199,0.0002456,0.0002447,812.2,59580,37310,23970,15860,12150,45.66,3383,12500,12920,9778,7789,13.87,4586,5163,4061,3281,1.26E+31,1.26E+31,2.96,2.045,1.366,13.64,15.77,1.827,0.141,1.719
24.1,3.199,0.0002456,0.0002447,812.2,59580,37310,23970,15860,12150,45.66,3383,12500,12920,9777,7788,13.87,4586,5162,4061,3281,1.26E+31,1.26E+31,2.96,2.045,1.366,13.64,15.77,1.827,0.141,1.719
24.15,3.199,0.0002456,0.0002447,812.3,59580,37300,23970,15860,12150,45.67,3383,12500,12920,9776,7787,13.87,4585,5162,4060,3280,1.26E+31,1.26E+31,2.96,2.045,1.366,13.64,15.77,1.827,0.141,1.719
24.2,3.199,0.0002456,0.0002447,812.3,59570,37300,23970,15860,12150,45.67,3383,12500,12920,9775,7786,13.87,4585,5161,4060,3280,1.26E+31,1.26E+31,2.96,2.045,1.366,13.64,15.77,1.827,0.141,1.719
24.25,3.199,0.0002456,0.0002447,812.3,59570,37300,23970,15860,12150,45.67,3383,12500,12920,9774,7785,13.87,4584,5161,4060,3280,1.26E+31,1.26E+31,2.96,2.045,1.366,13.64,15.77,1.827,0.141,1.719
24.3,3.199,0.0002456,0.0002447,812.3,59570,37300,23970,15860,12150,45.68,3383,12490,12920,9773,7784,13.87,4584,5160,4059,3279,1.26E+31,1.26E+31,2.96,2.045,1.366,13.64,15.77,1.827,0.141,1.719
24.35,3.199,0.0002456,0.0002447,812.4,59570,37300,23970,15860,12150,45.68,3383,12490,12910,9772,7784,13.87,4583,5160,4059,3279,1.26E+31,1.26E+31,2.96,2.045,1.366,13.64,15.77,1.827,0.141,1.719
24.4,3.199,0.0002456,0.0002447,812.4,59570,37300,23960,15860,12150,45.69,3383,12490,12910,9771,7783,13.88,4583,5159,4058,3279,1.26E+31,1.26E+31,2.96,2.045,1.366,13.64,15.77,1.827,0.141,1.719
24.45,3.199,0.0002456,0.0002447,812.4,59560,37290,23960,15860,12150,45.69,3383,12490,12910,9769,7782,13.88,4582,5159,4058,3278,1.26E+31,1.26E+31,2.96,2.045,1.366,13.64,15.77,1.827,0.141,1.719
24.5,3.199,0.0002456,0.0002447,812.5,59560,37290,23960,15860,12150,45.69,3383,12490,12910,9768,7781,13.88,4582,5158,4058,3278,1.26E+31,1.26E+31,2.96,2.045,1.366,13.64,15.77,1.827,0.1409,1.719
24.55,3.199,0.0002456,0.0002447,812.5,59560,37290,23960,15850,12150,45.7,3383,12490,12910,9767,7780,13.88,4581,5157,4057,3278,1.26E+31,1.26E+31,2.96,2.045,1.366,13.64,15.77,1.827,0.1409,1.719
24.6,3.199,0.0002456,0.0002447,812.5,59560,37290,23960,15850,12140,45.7,3383,12490,12910,9766,7779,13.88,4581,5157,4057,3278,1.26E+31,1.26E+31,2.96,2.045,1.366,13.64,15.77,1.827,0.1409,1.719
24.65,3.199,0.0002456,0.0002447,812.5,59550,37290,23960,15850,12140,45.7,3383,12480,12910,9765,7778,13.88,4580,5156,4056,3277,1.26E+31,1.26E+31,2.96,2.046,1.366,13.64,15.77,1.827,0.1409,1.719
24.7,3.199,0.0002456,0.0002447,812.6,59550,37290,23960,15850,12140,45.71,3383,12480,12900,9764,7777,13.88,4580,5156,4056,3277,1.26E+31,1.26E+31,2.96,2.046,1.366,13.64,15.77,1.827,0.1409,1.719
24.75,3.199,0.0002456,0.0002447,812.6,59550,37280,23950,15850,12140,45.71,3383,12480,12900,9763,7776,13.88,4579,5155,4056,3277,1.26E+31,1.26E+31,2.96,2.046,1.366,13.64,15.77,1.827,0.1409,1.719
24.8,3.199,0.0002456,0.0002447,812.6,59550,37280,23950,15850,12140,45.71,3383,12480,12900,9762,7776,13.89,4579,5155,4055,3276,1.26E+31,1.26E+31,2.96,2.046,1.366,13.64,15.77,1.826,0.1409,1.719
24.85,3.199,0.0002456,0.0002447,812.6,59540,37280,23950,15850,12140,45.72,3383,12480,12900,9761,7775,13.89,4578,5154,4055,3276,1.26E+31,1.26E+31,2.96,2.046,1.366,13.64,15.77,1.826,0.1409,1.719
24.9,3.198,0.0002456,0.0002447,812.7,59540,37280,23950,15850,12140,45.72,3383,12480,12900,9760,7774,13.89,4578,5154,4055,3276,1.26E+31,1.26E+31,2.96,2.046,1.366,13.64,15.77,1.826,0.1409,1.719
24.95,3.198,0.0002456,0.0002447,812.7,59540,37280,23950,15850,12140,45.72,3383,12480,12900,9759,7773,13.89,4577,5153,4054,3275,1.26E+31,1.26E+31,2.96,2.046,1.366,13.64,15.77,1.826,0.1408,1.719
25,3.198,0.0002456,0.0002447,812.7,59540,37280,23950,15850,12140,45.73,3383,12480,12900,9758,7772,13.89,4577,5153,4054,3275,1.26E+31,1.26E+31,2.96,2.046,1.366,13.64,15.77,1.826,0.1408,1.719
25.05,3.198,0.0002456,0.0002447,812.8,59530,37270,23950,15840,12140,45.73,3383,12470,12890,9757,7771,13.89,4577,5152,4053,3275,1.26E+31,1.26E+31,2.96,2.046,1.366,13.64,15.77,1.826,0.1408,1.719
25.1,3.198,0.0002456,0.0002447,812.8,59530,37270,23950,15840,12140,45.73,3383,12470,12890,9756,7770,13.89,4576,5152,4053,3275,1.26E+31,1.26E+31,2.96,2.046,1.366,13.64,15.77,1.826,0.1408,1.719
25.15,3.198,0.0002456,0.0002447,812.8,59530,37270,23940,15840,12140,45.74,3383,12470,12890,9755,7770,13.89,4576,5151,4053,3274,1.26E+31,1.26E+31,2.96,2.046,1.366,13.64,15.77,1.826,0.1408,1.719
25.2,3.198,0.0002456,0.0002447,812.8,59530,37270,23940,15840,12130,45.74,3383,12470,12890,9754,7769,13.9,4575,5151,4052,3274,1.26E+31,1.26E+31,2.96,2.046,1.366,13.64,15.77,1.826,0.1408,1.719
25.25,3.198,0.0002456,0.0002447,812.9,59530,37270,23940,15840,12130,45.74,3383,12470,12890,9753,7768,13.9,4575,5150,4052,3274,1.26E+31,1.26E+31,2.96,2.046,1.366,13.64,15.77,1.826,0.1408,1.719
25.3,3.198,0.0002456,0.0002447,812.9,59520,37270,23940,15840,12130,45.75,3383,12470,12890,9752,7767,13.9,4574,5150,4052,3273,1.26E+31,1.26E+31,2.96,2.047,1.366,13.64,15.77,1.826,0.1408,1.719
25.35,3.198,0.0002456,0.0002447,812.9,59520,37260,23940,15840,12130,45.75,3383,12470,12890,9751,7766,13.9,4574,5149,4051,3273,1.26E+31,1.26E+31,2.96,2.047,1.366,13.64,15.77,1.826,0.1408,1.719
25.4,3.198,0.0002456,0.0002447,812.9,59520,37260,23940,15840,12130,45.75,3383,12460,12880,9750,7765,13.9,4573,5149,4051,3273,1.26E+31,1.26E+31,2.96,2.047,1.366,13.64,15.77,1.826,0.1407,1.719
25.45,3.198,0.0002456,0.0002447,813,59520,37260,23940,15840,12130,45.76,3383,12460,12880,9749,7765,13.9,4573,5148,4051,3273,1.26E+31,1.26E+31,2.96,2.047,1.366,13.64,15.77,1.826,0.1407,1.719
25.5,3.198,0.0002456,0.0002447,813,59510,37260,23940,15840,12130,45.76,3383,12460,12880,9748,7764,13.9,4572,5148,4050,3272,1.26E+31,1.26E+31,2.96,2.047,1.366,13.64,15.77,1.826,0.1407,1.718
25.55,3.198,0.0002456,0.0002447,813,59510,37260,23930,15830,12130,45.76,3383,12460,12880,9747,7763,13.9,4572,5147,4050,3272,1.26E+31,1.26E+31,2.96,2.047,1.366,13.64,15.77,1.826,0.1407,1.718
25.6,3.198,0.0002456,0.0002447,813,59510,37260,23930,15830,12130,45.77,3383,12460,12880,9746,7762,13.91,4572,5147,4050,3272,1.26E+31,1.26E+31,2.96,2.047,1.366,13.64,15.77,1.826,0.1407,1.718
25.65,3.198,0.0002456,0.0002447,813.1,59510,37250,23930,15830,12130,45.77,3383,12460,12880,9745,7761,13.91,4571,5146,4049,3271,1.26E+31,1.26E+31,2.96,2.047,1.366,13.64,15.77,1.826,0.1407,1.718
25.7,3.198,0.0002456,0.0002447,813.1,59500,37250,23930,15830,12130,45.77,3383,12460,12880,9744,7761,13.91,4571,5146,4049,3271,1.26E+31,1.26E+31,2.96,2.047,1.366,13.64,15.77,1.826,0.1407,1.718
25.75,3.198,0.0002456,0.0002447,813.1,59500,37250,23930,15830,12130,45.77,3383,12460,12880,9743,7760,13.91,4570,5145,4048,3271,1.26E+31,1.26E+31,2.96,2.047,1.366,13.64,15.77,1.825,0.1407,1.718
25.8,3.198,0.0002456,0.0002447,813.1,59500,37250,23930,15830,12130,45.78,3383,12450,12870,9742,7759,13.91,4570,5145,4048,3271,1.26E+31,1.26E+31,2.96,2.047,1.366,13.64,15.77,1.825,0.1407,1.718
25.85,3.198,0.0002456,0.0002447,813.2,59500,37250,23930,15830,12120,45.78,3383,12450,12870,9741,7758,13.91,4569,5144,4048,3270,1.26E+31,1.26E+31,2.96,2.047,1.366,13.64,15.77,1.825,0.1407,1.718
25.9,3.198,0.0002456,0.0002447,813.2,59490,37250,23930,15830,12120,45.78,3383,12450,12870,9740,7757,13.91,4569,5144,4047,3270,1.26E+31,1.26E+31,2.96,2.047,1.366,13.64,15.77,1.825,0.1406,1.718
25.95,3.198,0.0002456,0.0002447,813.2,59490,37240,23920,15830,12120,45.79,3383,12450,12870,9739,7757,13.91,4569,5144,4047,3270,1.26E+31,1.26E+31,2.96,2.048,1.366,13.64,15.77,1.825,0.1406,1.718
26,3.198,0.0002456,0.0002447,813.2,59490,37240,23920,15830,12120,45.79,3383,12450,12870,9738,7756,13.91,4568,5143,4047,3270,1.26E+31,1.26E+31,2.96,2.048,1.366,13.64,15.77,1.825,0.1406,1.718
26.05,3.198,0.0002456,0.0002447,813.2,59490,37240,23920,15830,12120,45.79,3383,12450,12870,9737,7755,13.92,4568,5143,4046,3269,1.26E+31,1.26E+31,2.96,2.048,1.366,13.64,15.77,1.825,0.1406,1.718
26.1,3.198,0.0002456,0.0002447,813.3,59480,37240,23920,15820,12120,45.8,3383,12450,12870,9736,7754,13.92,4567,5142,4046,3269,1.26E+31,1.26E+31,2.96,2.048,1.366,13.64,15.77,1.825,0.1406,1.718
26.15,3.198,0.0002456,0.0002447,813.3,59480,37240,23920,15820,12120,45.8,3383,12450,12870,9735,7754,13.92,4567,5142,4046,3269,1.26E+31,1.26E+31,2.96,2.048,1.366,13.64,15.77,1.825,0.1406,1.718
26.2,3.198,0.0002456,0.0002447,813.3,59480,37240,23920,15820,12120,45.8,3383,12440,12860,9734,7753,13.92,4567,5141,4045,3269,1.26E+31,1.26E+31,2.96,2.048,1.366,13.64,15.77,1.825,0.1406,1.718
26.25,3.198,0.0002456,0.0002447,813.3,59480,37230,23920,15820,12120,45.81,3383,12440,12860,9733,7752,13.92,4566,5141,4045,3268,1.26E+31,1.26E+31,2.96,2.048,1.366,13.64,15.77,1.825,0.1406,1.718
26.3,3.198,0.0002456,0.0002447,813.4,59470,37230,23920,15820,12120,45.81,3383,12440,12860,9732,7751,13.92,4566,5140,4045,3268,1.26E+31,1.26E+31,2.96,2.048,1.366,13.64,15.77,1.825,0.1406,1.718
26.35,3.198,0.0002456,0.0002447,813.4,59470,37230,23910,15820,12120,45.81,3383,12440,12860,9731,7750,13.92,4565,5140,4044,3268,1.26E+31,1.26E+31,2.96,2.048,1.366,13.64,15.77,1.825,0.1406,1.718
26.4,3.198,0.0002456,0.0002447,813.4,59470,37230,23910,15820,12120,45.81,3383,12440,12860,9731,7750,13.92,4565,5139,4044,3267,1.26E+31,1.26E+31,2.96,2.048,1.366,13.64,15.77,1.825,0.1405,1.718
26.45,3.198,0.0002456,0.0002447,813.4,59470,37230,23910,15820,12120,45.82,3383,12440,12860,9730,7749,13.92,4564,5139,4044,3267,1.26E+31,1.26E+31,2.96,2.048,1.366,13.64,15.77,1.825,0.1405,1.718
26.5,3.198,0.0002456,0.0002447,813.5,59460,37230,23910,15820,12110,45.82,3383,12440,12860,9729,7748,13.93,4564,5139,4043,3267,1.26E+31,1.26E+31,2.96,2.048,1.366,13.64,15.77,1.825,0.1405,1.718
26.55,3.198,0.0002456,0.0002447,813.5,59460,37220,23910,15820,12110,45.82,3383,12440,12860,9728,7748,13.93,4564,5138,4043,3267,1.26E+31,1.26E+31,2.96,2.048,1.366,13.64,15.77,1.825,0.1405,1.718
26.6,3.198,0.0002456,0.0002447,813.5,59460,37220,23910,15820,12110,45.83,3383,12440,12850,9727,7747,13.93,4563,5138,4043,3266,1.26E+31,1.26E+31,2.96,2.048,1.366,13.64,15.77,1.825,0.1405,1.718
26.65,3.198,0.0002456,0.0002447,813.5,59460,37220,23910,15810,12110,45.83,3383,12430,12850,9726,7746,13.93,4563,5137,4042,3266,1.26E+31,1.26E+31,2.96,2.049,1.366,13.64,15.77,1.825,0.1405,1.718
26.7,3.198,0.0002456,0.0002447,813.5,59450,37220,23910,15810,12110,45.83,3383,12430,12850,9725,7745,13.93,4563,5137,4042,3266,1.26E+31,1.26E+31,2.96,2.049,1.366,13.64,15.77,1.825,0.1405,1.718
26.75,3.198,0.0002456,0.0002447,813.6,59450,37220,23900,15810,12110,45.84,3383,12430,12850,9724,7745,13.93,4562,5136,4042,3266,1.26E+31,1.26E+31,2.96,2.049,1.366,13.64,15.77,1.825,0.1405,1.718
26.8,3.198,0.0002456,0.0002447,813.6,59450,37220,23900,15810,12110,45.84,3383,12430,12850,9723,7744,13.93,4562,5136,4042,3265,1.26E+31,1.26E+31,2.96,2.049,1.366,13.64,15.77,1.824,0.1405,1.718
26.85,3.198,0.0002456,0.0002447,813.6,59450,37220,23900,15810,12110,45.84,3383,12430,12850,9723,7743,13.93,4561,5135,4041,3265,1.26E+31,1.26E+31,2.96,2.049,1.366,13.64,15.77,1.824,0.1405,1.718
26.9,3.198,0.0002456,0.0002447,813.6,59440,37210,23900,15810,12110,45.84,3383,12430,12850,9722,7742,13.93,4561,5135,4041,3265,1.26E+31,1.26E+31,2.96,2.049,1.366,13.64,15.77,1.824,0.1405,1.718
26.95,3.198,0.0002456,0.0002447,813.6,59440,37210,23900,15810,12110,45.85,3383,12430,12850,9721,7742,13.94,4561,5135,4041,3265,1.26E+31,1.26E+31,2.96,2.049,1.366,13.64,15.77,1.824,0.1404,1.718
27,3.198,0.0002456,0.0002447,813.7,59440,37210,23900,15810,12110,45.85,3383,12430,12850,9720,7741,13.94,4560,5134,4040,3264,1.26E+31,1.26E+31,2.96,2.049,1.366,13.64,15.77,1.824,0.1404,1.718
27.05,3.198,0.0002456,0.0002447,813.7,59440,37210,23900,15810,12110,45.85,3383,12430,12840,9719,7740,13.94,4560,5134,4040,3264,1.26E+31,1.26E+31,2.96,2.049,1.366,13.64,15.77,1.824,0.1404,1.718
27.1,3.198,0.0002456,0.0002447,813.7,59430,37210,23900,15810,12110,45.85,3383,12420,12840,9718,7740,13.94,4559,5133,4040,3264,1.26E+31,1.26E+31,2.96,2.049,1.366,13.64,15.77,1.824,0.1404,1.718
27.15,3.198,0.0002456,0.0002447,813.7,59430,37210,23900,15810,12100,45.86,3382,12420,12840,9717,7739,13.94,4559,5133,4039,3264,1.26E+31,1.26E+31,2.96,2.049,1.366,13.64,15.77,1.824,0.1404,1.718
27.2,3.198,0.0002456,0.0002447,813.8,59430,37200,23890,15810,12100,45.86,3382,12420,12840,9717,7738,13.94,4559,5133,4039,3263,1.26E+31,1.26E+31,2.96,2.049,1.366,13.64,15.77,1.824,0.1404,1.718
27.25,3.198,0.0002456,0.0002447,813.8,59430,37200,23890,15800,12100,45.86,3382,12420,12840,9716,7738,13.94,4558,5132,4039,3263,1.26E+31,1.26E+31,2.96,2.049,1.366,13.64,15.77,1.824,0.1404,1.718
27.3,3.198,0.0002456,0.0002447,813.8,59420,37200,23890,15800,12100,45.87,3382,12420,12840,9715,7737,13.94,4558,5132,4038,3263,1.26E+31,1.26E+31,2.96,2.049,1.366,13.64,15.77,1.824,0.1404,1.718
27.35,3.198,0.0002456,0.0002447,813.8,59420,37200,23890,15800,12100,45.87,3382,12420,12840,9714,7736,13.94,4558,5131,4038,3263,1.26E+31,1.26E+31,2.96,2.05,1.366,13.64,15.77,1.824,0.1404,1.718
27.4,3.198,0.0002456,0.0002447,813.8,59420,37200,23890,15800,12100,45.87,3382,12420,12840,9713,7736,13.94,4557,5131,4038,3263,1.26E+31,1.26E+31,2.96,2.05,1.366,13.64,15.77,1.824,0.1404,1.718
27.45,3.198,0.0002456,0.0002447,813.9,59410,37200,23890,15800,12100,45.87,3382,12420,12840,9712,7735,13.95,4557,5130,4038,3262,1.26E+31,1.26E+31,2.96,2.05,1.366,13.64,15.77,1.824,0.1404,1.718
27.5,3.198,0.0002456,0.0002447,813.9,59410,37190,23890,15800,12100,45.88,3382,12420,12830,9712,7734,13.95,4557,5130,4037,3262,1.26E+31,1.26E+31,2.96,2.05,1.366,13.64,15.77,1.824,0.1403,1.718
27.55,3.198,0.0002456,0.0002447,813.9,59410,37190,23890,15800,12100,45.88,3382,12410,12830,9711,7734,13.95,4556,5130,4037,3262,1.26E+31,1.26E+31,2.96,2.05,1.366,13.64,15.77,1.824,0.1403,1.718
27.6,3.198,0.0002456,0.0002447,813.9,59410,37190,23890,15800,12100,45.88,3382,12410,12830,9710,7733,13.95,4556,5129,4037,3262,1.26E+31,1.26E+31,2.96,2.05,1.367,13.64,15.77,1.824,0.1403,1.718
27.65,3.198,0.0002456,0.0002447,813.9,59400,37190,23880,15800,12100,45.88,3382,12410,12830,9709,7732,13.95,4555,5129,4036,3261,1.26E+31,1.26E+31,2.96,2.05,1.367,13.64,15.77,1.824,0.1403,1.718
27.7,3.198,0.0002456,0.0002447,814,59400,37190,23880,15800,12100,45.89,3382,12410,12830,9708,7732,13.95,4555,5128,4036,3261,1.26E+31,1.26E+31,2.96,2.05,1.367,13.64,15.77,1.824,0.1403,1.718
27.75,3.198,0.0002456,0.0002447,814,59400,37190,23880,15800,12100,45.89,3382,12410,12830,9708,7731,13.95,4555,5128,4036,3261,1.26E+31,1.26E+31,2.96,2.05,1.367,13.64,15.77,1.824,0.1403,1.718
27.8,3.198,0.0002456,0.0002447,814,59400,37180,23880,15790,12100,45.89,3382,12410,12830,9707,7730,13.95,4554,5128,4035,3261,1.26E+31,1.26E+31,2.96,2.05,1.367,13.64,15.77,1.824,0.1403,1.718
27.85,3.198,0.0002456,0.0002447,814,59390,37180,23880,15790,12100,45.9,3382,12410,12830,9706,7730,13.95,4554,5127,4035,3260,1.26E+31,1.26E+31,2.96,2.05,1.367,13.64,15.77,1.824,0.1403,1.718
27.9,3.198,0.0002456,0.0002447,814,59390,37180,23880,15790,12090,45.9,3382,12410,12830,9705,7729,13.95,4554,5127,4035,3260,1.26E+31,1.26E+31,2.96,2.05,1.367,13.64,15.77,1.824,0.1403,1.718
