,mean_prcp_imp,prcp_1yr,prcp_2yr,prcp_5yr,int_one,int_two,int_five,influent_flow_imp,complete_flow_imp,ammonia_ppm_imp,nitrate_ppm_imp,nitrite_ppm_imp,TIN,performance,Label
33,0.05,0.05,0.07005,0.09745,0.30000000000000004,0.4203,0.5847,537.62,538.47,0.093841,2.969666,0.029068,3.092575,99.84189576280643,537.6199951171875
34,0.006666666666666667,0.006666666666666667,0.00934,0.012993333333333334,0.04,0.056040000000000006,0.07796,533.5,562.4,0.093841,2.969666,0.029068,3.092575,94.58294283036552,535.0082177734375
35,0.008333333333333333,0.008333333333333333,0.011675,0.016241666666666668,0.05,0.07005,0.09745,524.1,577.99,0.093841,2.969666,0.029068,3.092575,89.71761114291166,524.0999755859375
36,0.015,0.015,0.021015,0.029235,0.09,0.12608999999999998,0.17540999999999998,528.74,582.92,0.093841,2.969666,0.029068,3.092575,89.75299769262777,528.739990234375
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.34,559.14,0.093841,2.969666,0.029065,3.092572,88.2479913658712,500.6433023071289
38,0.0016666666666666668,0.0016666666666666668,0.0023350000000000003,0.0032483333333333327,0.01,0.014010000000000002,0.01949,523.01,568.73,0.091984,2.779561,0.028687,2.9002320000000004,91.2582933404715,523.010009765625
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,579.08,585.92,0.090026,2.57904,0.028687,2.697753,98.81881605304967,579.0800170898438
40,0.006666666666666667,0.006666666666666667,0.00934,0.012993333333333334,0.04,0.056040000000000006,0.07796,575.74,576.1,0.090026,2.57904,0.028687,2.697753,99.9374717754542,575.739990234375
41,0.043333333333333335,0.043333333333333335,0.06071,0.08445666666666668,0.26,0.36426,0.50674,577.55,577.59,0.090026,2.57904,0.028687,2.697753,99.99307419271057,577.5123883056641
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,580.37,580.96,0.090026,2.57904,0.028687,2.697753,99.89834071368263,580.3699951171875
43,0.04,0.04,0.05604,0.07796,0.24,0.33624,0.46776,573.92,575.52,0.090026,2.57904,0.028693,2.697759,99.72121550041815,573.9199829101562
44,0.0016666666666666668,0.0016666666666666668,0.0023350000000000003,0.0032483333333333327,0.01,0.014010000000000002,0.01949,572.08,573.87,0.090026,2.547852,0.029449,2.667327,99.68710669836386,572.0800170898438
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,573.63,574.24,0.090026,2.514954,0.029449,2.634429,99.89365967609785,573.8050073242188
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,569.66,571.57,0.090026,2.514954,0.029449,2.634429,99.66471228452058,569.6599731445312
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,577.43,578.52,0.090026,2.514954,0.029449,2.634429,99.81123253035,577.4299926757812
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,581.9,581.9,0.090026,2.514954,0.029449,2.634429,100.0,581.9000244140625
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,576.64,576.65,0.090026,2.514954,0.029446,2.634426,99.99826581576026,576.6400146484375
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,573.92,573.93,0.090955,2.724365,0.029068,2.8443880000000004,99.99825759687764,573.9199829101562
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,574.6,575.06,0.091934,2.945251,0.029068,3.066253,99.91994430908458,574.5999755859375
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,575.12,575.94,0.091934,2.945251,0.029068,3.066253,99.8574210599527,575.3580883789062
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,582.36,582.36,0.091934,2.945251,0.029068,3.066253,100.0,582.3599853515625
54,0.005,0.005,0.007005,0.009745,0.03,0.04203,0.05847,570.66,571.7,0.091934,2.945251,0.029068,3.066253,99.81775488031401,570.6599731445312
55,0.005,0.005,0.007005,0.009745,0.03,0.04203,0.05847,566.24,566.78,0.091934,2.945251,0.029084,3.066269,99.904634077423,566.239990234375
56,0.0016666666666666668,0.0016666666666666668,0.0023350000000000003,0.0032483333333333327,0.01,0.014010000000000002,0.01949,567.9,567.9,0.091934,3.083847,0.030975,3.206756,100.0,567.9000244140625
57,0.005,0.005,0.007005,0.009745,0.03,0.04203,0.05847,567.34,567.34,0.091934,3.2290650000000003,0.030975,3.351974,100.0,567.3400268554688
58,0.021666666666666667,0.021666666666666667,0.030355,0.04222833333333333,0.13,0.18213,0.25337,583.97,583.98,0.091934,3.2290650000000003,0.030975,3.351974,99.99828758326626,583.969970703125
59,0.06666666666666668,0.06666666666666668,0.09340000000000002,0.12993333333333335,0.4000000000000001,0.5604000000000001,0.7796000000000003,538.31,538.47,0.091934,3.2290650000000003,0.030975,3.351974,99.97027734948263,538.3099975585938
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,542.38,542.39,0.091934,3.2290650000000003,0.030975,3.351974,99.99815627419892,542.4136846923828
61,0.03,0.03,0.04203,0.05847,0.18,0.25218,0.35081999999999997,538.98,538.97,0.091934,3.2290650000000003,0.030959,3.351958,100.00185535641396,538.97998046875
62,0.005,0.005,0.007005,0.009745,0.03,0.04203,0.05847,535.79,535.8,0.224196,3.2290650000000003,0.029068,3.4823290000000005,99.99813359711828,535.7899780273438
63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535.14,535.14,0.362777,3.2290650000000003,0.029068,3.62091,100.0,535.1400146484375
64,0.0033333333333333327,0.0033333333333333327,0.004669999999999999,0.0064966666666666645,0.02,0.028019999999999996,0.03898,531.78,531.79,0.362777,3.2290650000000003,0.029068,3.62091,99.99811952311106,531.7466101074219
65,0.0033333333333333327,0.0033333333333333327,0.004669999999999999,0.0064966666666666645,0.02,0.028019999999999996,0.03898,534.09,534.1,0.362777,3.2290650000000003,0.029068,3.62091,99.99812765638752,534.0830920410157
66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,537.09,537.1,0.362777,3.2290650000000003,0.029068,3.62091,99.99813811465488,537.0900268554688
67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,534.05,534.08,0.362777,3.2290650000000003,0.029071,3.620913,99.9943825484505,534.0499877929688
68,0.0033333333333333327,0.0033333333333333327,0.004669999999999999,0.0064966666666666645,0.02,0.028019999999999996,0.03898,532.11,532.11,0.806071,3.3642199999999995,0.029449,4.1997399999999985,100.0,532.1033850097656
69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531.51,531.51,1.276398,3.506775,0.029449,4.812622,100.0,531.510009765625
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531.69,531.9,1.276398,3.506775,0.029449,4.812622,99.9605033007956,531.6321020507812
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,538.28,538.29,1.276398,3.506775,0.029449,4.812622,99.99814223080924,538.280029296875
72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535.47,535.48,1.276398,3.506775,0.029449,4.812622,99.99813248174499,535.4630841064453
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,532.94,532.95,1.276398,3.506775,0.029481,4.812654,99.99812361616692,532.9400024414062
74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,522.44,525.94,1.7145279999999998,3.4599910000000005,0.033264,5.207783,99.33006661051986,522.2941162109375
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,522.64,527.44,2.176666,3.4106440000000005,0.033264,5.6205739999999995,99.08158579519363,522.6400146484375
76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,523.81,528.22,2.176666,3.4106440000000005,0.033264,5.6205739999999995,99.15809167446209,523.8099975585938
77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,528.86,528.97,2.176666,3.4106440000000005,0.033264,5.6205739999999995,99.97920054456756,528.8599853515625
78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,527.37,527.6,2.176666,3.4106440000000005,0.033264,5.6205739999999995,99.95638735612567,527.3699951171875
79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,524.42,526.02,2.176666,3.4106440000000005,0.033239,5.6205490000000005,99.69490103352274,524.4199829101562
80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,524.46,526.91,2.533401,3.40099,0.030212,5.964603,99.53285283911072,524.4600219726562
81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.73,522.55,2.907181,3.3908080000000003,0.030212,6.328201,98.08476196048605,512.72998046875
82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503.03,534.84,2.907181,3.3908080000000003,0.030212,6.328201,93.67632149175994,503.0299987792969
83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,544.58,546.82,2.907181,3.3908080000000003,0.030212,6.328201,99.58867384039075,544.5800170898438
84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,533.64,533.66,2.907181,3.3908080000000003,0.030212,6.328201,99.99625215501085,533.6113146972656
85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530.85,530.86,2.907181,3.3908080000000003,0.030218,6.328207000000001,99.99811622868984,530.8499755859375
86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531.54,531.55,2.91277,3.411601,0.030975,6.355346000000001,99.99811867404146,531.5399780273438
87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,527.38,527.71,2.918625,3.433533,0.030975,6.383133000000001,99.93742652356934,527.4319934082031
88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,526.95,527.41,2.918625,3.433533,0.030975,6.383133000000001,99.91270519024576,526.9500122070312
89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,527.76,527.97,2.918625,3.433533,0.030975,6.383133000000001,99.96020918599363,527.760009765625
90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,522.46,525.56,2.918625,3.433533,0.030975,6.383133000000001,99.40665314091032,522.4600219726562
91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,518.96,525.17,2.918625,3.433533,0.030972000000000006,6.38313,98.80337598273472,518.9600219726562
92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,515.03,525.12,2.801733,3.458038,0.030594,6.290365,98.04089082189388,515.030029296875
93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.72,525.27,2.678298,3.483886,0.030594,6.192778,97.552270244968,512.9187063598633
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,507.55,525.15,2.678298,3.483886,0.030594,6.192778,96.53236134370998,507.5991012573242
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503.22,525.69,2.678298,3.483886,0.030594,6.192778,95.5347561702635,503.2200012207031
96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,497.78,525.06,2.678298,3.483886,0.030594,6.192778,94.51966732291376,497.7799987792969
97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,477.85,521.15,2.678298,3.483886,0.030604000000000006,6.192788,90.93857905200376,477.8500061035156
98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,455.48,525.14,2.415637,3.583735,0.031738,6.03111,84.70624396241328,455.4800109863281
99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456.63,525.9,2.140426,3.688354,0.031738,5.860517999999999,84.83016884567375,456.6300048828125
100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456.01,525.96,2.140426,3.688354,0.031738,5.860517999999999,84.66042411350627,456.010009765625
101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454.64,525.85,2.140426,3.688354,0.031738,5.860517999999999,84.33705789195847,454.6400146484375
102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,452.75,525.27,2.140426,3.688354,0.031738,5.860517999999999,83.98233020430702,452.7712078857422
103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428.49,517.8,2.140426,3.688354,0.031773,5.860553,79.15703983756916,428.489990234375
104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,421.89,519.19,1.897325,3.727847,0.035934,5.661106,76.93711630993859,421.3960934448242
